household,date,score,t_out,t_unit,hvac,price,Price per week,Price per day
a1,2019-01-06,85,38.59923115,71.58070437,35.11375778,0.17303,6.075733508,0.86796193
a10,2019-01-06,70,38.59923115,73.28625992,63.94905722,0.17303,11.06510537,1.580729339
a11,2019-01-06,61,38.59923115,74.25204591,147.6121081,0.17303,25.54132306,3.648760437
a12,2019-01-06,65,38.59923115,73.70848214,74.3945175,0.17303,12.87248336,1.838926195
a13,2019-01-06,66,38.59923115,73.54955357,173.0958356,0.17303,29.95077243,4.278681775
a14,2019-01-06,84,38.59923115,72.34645709,7.040034444,0.17303,1.21813716,0.174019594
a15,2019-01-06,1,38.59923115,81.47847222,639.9598547,0.17303,110.7322537,15.81889338
a16,2019-01-06,25,38.59923115,76.78450424,616.8055006,0.17303,106.7258558,15.24655082
a2,2019-01-06,74,38.59923115,73.16036706,322.6480833,0.17303,55.82779786,7.975399694
a3,2019-01-06,55,38.59923115,74.02514881,95.13984028,0.17303,16.46204656,2.351720938
a4,2019-01-06,99,38.59923115,71.39126984,0,0.17303,0,0
a5,2019-01-06,78,38.59923115,76.72475198,70.94253194,0.17303,12.2751863,1.753598043
a6,2019-01-06,44,38.59923115,74.7874752,67.35003361,0.17303,11.65357632,1.664796617
a7,2019-01-06,62,38.59923115,76.07135417,71.17798806,0.17303,12.31592727,1.759418182
a8,2019-01-06,65,38.59923115,73.93566468,50.81237833,0.17303,8.792065823,1.256009403
a9,2019-01-06,51,38.59923115,75.80724206,108.091675,0.17303,18.70310253,2.671871789
b17,2019-01-06,66,38.59923115,72.95099206,130.5097175,0.17303,22.58209642,3.226013774
b18,2019-01-06,90,38.59923115,70.94751984,60.07837861,0.17303,10.39536185,1.485051693
b19,2019-01-06,30,38.59923115,74.63606151,0,0.17303,0,0
b20,2019-01-06,93,38.59923115,75.28690476,21.32024389,0.17303,3.6890418,0.527005971
b21,2019-01-06,16,38.59923115,75.74928075,0,0.17303,0,0
b22,2019-01-06,54,38.59923115,78.60912698,93.92852806,0.17303,16.25245321,2.32177903
b23,2019-01-06,42,38.59923115,78.69375,66.33502028,0.17303,11.47794856,1.639706937
b24,2019-01-06,89,38.59923115,73.67760417,68.98915611,0.17303,11.93719368,1.705313383
b25,2019-01-06,45,38.59923115,77.90947421,101.5372044,0.17303,17.56898249,2.509854641
b26,2019-01-06,57,38.59923115,75.20644841,122.3278458,0.17303,21.16638716,3.023769595
b27,2019-01-06,-100,38.59923115,-100,,0.17303,0,
b28,2019-01-06,48,38.59923115,71.53683036,39.71991306,0.17303,6.872736556,0.981819508
b29,2019-01-06,82,38.59923115,72.49379415,73.09018722,0.17303,12.6467951,1.806685014
b30,2019-01-06,83,38.59923115,77.63988095,17.97237778,0.17303,3.109760527,0.444251504
b31,2019-01-06,95,38.59923115,70.90520833,55.94086861,0.17303,9.679448496,1.382778357
b32,2019-01-06,-100,38.59923115,-100,,0.17303,0,
b33,2019-01-06,85,38.59923115,72.88829365,35.80939833,0.17303,6.196100194,0.885157171
c34,2019-01-06,-100,38.59923115,-100,,0.17303,0,
c35,2019-01-06,92,38.59923115,70.42420635,63.94639556,0.17303,11.06464482,1.580663546
c36,2019-01-06,47,38.59923115,76.08239087,104.7199992,0.17303,18.11970146,2.588528779
c37,2019-01-06,58,38.59923115,74.25654762,41.79578,0.17303,7.231923813,1.033131973
c38,2019-01-06,38,38.59923115,74.83690476,63.93866056,0.17303,11.06330644,1.580472348
c39,2019-01-06,56,38.59923115,73.87227183,68.11525389,0.17303,11.78598238,1.683711769
c40,2019-01-06,66,38.59923115,75.57986111,114.0963886,0.17303,19.74209812,2.820299732
c41,2019-01-06,90,38.59923115,69.14074901,0,0.17303,0,0
c42,2019-01-06,-100,38.59923115,-100,,0.17303,0,
c43,2019-01-06,38,38.59923115,78.05438988,136.5305517,0.17303,23.62388135,3.374840194
c44,2019-01-06,28,38.59923115,78.2110119,170.0585397,0.17303,29.42522913,4.203604161
c45,2019-01-06,66,38.59923115,74.78105159,197.4929797,0.17303,34.17221028,4.881744326
c46,2019-01-06,76,38.59923115,72.91374008,124.591415,0.17303,21.55805254,3.079721791
c47,2019-01-06,74,38.59923115,72.84635417,84.63115389,0.17303,14.64372856,2.091961222
c48,2019-01-06,53,38.59923115,74.62356151,279.3245247,0.17303,48.33152251,6.904503216
c49,2019-01-06,71,38.59923115,72.7671627,51.48321694,0.17303,8.908141028,1.272591575
c50,2019-01-06,52,38.59923115,75.67356151,87.48223611,0.17303,15.13705131,2.162435902